date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:34:28.080275+05:30,24819.95,24822.9,24819.85,24821.85,24821.85,,
2025-09-04,2025-09-04 11:34:28.579477+05:30,24819.95,24822.9,24819.85,24821.45,24821.45,,
2025-09-04,2025-09-04 11:34:29.079707+05:30,24819.95,24822.9,24819.85,24821.9,24821.9,,
2025-09-04,2025-09-04 11:34:29.579496+05:30,24819.95,24822.9,24819.85,24821.85,24821.85,,
2025-09-04,2025-09-04 11:34:30.079463+05:30,24819.95,24822.9,24819.85,24822.65,24822.65,,
2025-09-04,2025-09-04 11:34:30.579651+05:30,24819.95,24822.9,24819.85,24821.45,24821.45,,
2025-09-04,2025-09-04 11:34:31.079731+05:30,24819.95,24822.9,24819.85,24822.3,24822.3,,
2025-09-04,2025-09-04 11:34:31.579715+05:30,24819.95,24822.9,24819.85,24821.7,24821.7,,
2025-09-04,2025-09-04 11:34:32.079654+05:30,24819.95,24822.9,24819.85,24821.6,24821.6,,
2025-09-04,2025-09-04 11:34:32.579625+05:30,24819.95,24822.9,24819.85,24821.15,24821.15,,
2025-09-04,2025-09-04 11:34:33.079604+05:30,24819.95,24822.9,24819.85,24822.0,24822.0,,
2025-09-04,2025-09-04 11:34:33.579436+05:30,24819.95,24822.9,24819.85,24821.65,24821.65,,
2025-09-04,2025-09-04 11:34:34.079558+05:30,24819.95,24822.9,24819.85,24821.6,24821.6,,
2025-09-04,2025-09-04 11:34:34.579442+05:30,24819.95,24822.9,24819.85,24821.65,24821.65,,
2025-09-04,2025-09-04 11:34:35.079406+05:30,24819.95,24822.9,24819.85,24821.75,24821.75,,
2025-09-04,2025-09-04 11:34:35.579645+05:30,24819.95,24822.9,24819.85,24821.35,24821.35,,
2025-09-04,2025-09-04 11:34:36.079750+05:30,24819.95,24822.9,24819.85,24822.45,24822.45,,
2025-09-04,2025-09-04 11:34:36.579504+05:30,24819.95,24822.9,24819.85,24822.35,24822.35,,
2025-09-04,2025-09-04 11:34:37.079406+05:30,24819.95,24822.9,24819.85,24822.05,24822.05,,
2025-09-04,2025-09-04 11:34:37.579442+05:30,24819.95,24822.9,24819.85,24821.55,24821.55,,
2025-09-04,2025-09-04 11:34:38.079817+05:30,24819.95,24822.9,24819.85,24821.65,24821.65,,
2025-09-04,2025-09-04 11:34:38.579465+05:30,24819.95,24822.9,24819.85,24821.9,24821.9,,
2025-09-04,2025-09-04 11:34:39.079607+05:30,24819.95,24822.9,24819.85,24821.8,24821.8,,
2025-09-04,2025-09-04 11:34:39.579310+05:30,24819.95,24822.9,24819.85,24822.3,24822.3,,
2025-09-04,2025-09-04 11:34:40.079339+05:30,24819.95,24822.9,24819.85,24822.4,24822.4,,
2025-09-04,2025-09-04 11:34:40.580247+05:30,24819.95,24823.05,24819.85,24823.05,24823.05,,
2025-09-04,2025-09-04 11:34:41.079979+05:30,24819.95,24823.05,24819.85,24822.7,24822.7,,
2025-09-04,2025-09-04 11:34:41.579325+05:30,24819.95,24823.05,24819.85,24822.5,24822.5,,
2025-09-04,2025-09-04 11:34:42.079255+05:30,24819.95,24823.05,24819.85,24822.35,24822.35,,
2025-09-04,2025-09-04 11:34:42.579301+05:30,24819.95,24823.05,24819.85,24822.1,24822.1,,
2025-09-04,2025-09-04 11:34:43.079781+05:30,24819.95,24823.05,24819.85,24822.1,24822.1,,
2025-09-04,2025-09-04 11:34:43.579426+05:30,24819.95,24823.05,24819.85,24821.9,24821.9,,
2025-09-04,2025-09-04 11:34:44.080051+05:30,24819.95,24823.05,24819.85,24822.2,24822.2,,
2025-09-04,2025-09-04 11:34:44.579319+05:30,24819.95,24823.05,24819.85,24821.8,24821.8,,
2025-09-04,2025-09-04 11:34:45.079303+05:30,24819.95,24823.05,24819.85,24822.3,24822.3,,
2025-09-04,2025-09-04 11:34:45.579322+05:30,24819.95,24823.05,24819.85,24821.85,24821.85,,
2025-09-04,2025-09-04 11:34:46.079467+05:30,24819.95,24823.05,24819.85,24822.45,24822.45,,
2025-09-04,2025-09-04 11:34:46.579129+05:30,24819.95,24823.05,24819.85,24821.95,24821.95,,
2025-09-04,2025-09-04 11:34:47.086969+05:30,24819.95,24823.05,24819.85,24822.5,24822.5,,
2025-09-04,2025-09-04 11:34:47.581408+05:30,24819.95,24823.05,24819.85,24822.25,24822.25,,
2025-09-04,2025-09-04 11:34:48.079091+05:30,24819.95,24823.05,24819.85,24822.55,24822.55,,
2025-09-04,2025-09-04 11:34:48.579298+05:30,24819.95,24823.05,24819.85,24822.3,24822.3,,
2025-09-04,2025-09-04 11:34:48.829579+05:30,24819.95,24823.05,24819.85,24822.6,24822.6,,
2025-09-04,2025-09-04 11:34:49.579265+05:30,24819.95,24823.05,24819.85,24822.7,24822.7,,
2025-09-04,2025-09-04 11:34:50.079247+05:30,24819.95,24823.05,24819.85,24822.9,24822.9,,
2025-09-04,2025-09-04 11:34:50.579221+05:30,24819.95,24823.05,24819.85,24822.8,24822.8,,
2025-09-04,2025-09-04 11:34:51.079402+05:30,24819.95,24823.15,24819.85,24823.15,24823.15,,
2025-09-04,2025-09-04 11:34:51.579081+05:30,24819.95,24823.15,24819.85,24822.55,24822.55,,
2025-09-04,2025-09-04 11:34:52.079146+05:30,24819.95,24823.2,24819.85,24823.2,24823.2,,
2025-09-04,2025-09-04 11:34:52.579124+05:30,24819.95,24823.2,24819.85,24823.0,24823.0,,
2025-09-04,2025-09-04 11:34:53.079214+05:30,24819.95,24823.2,24819.85,24822.7,24822.7,,
2025-09-04,2025-09-04 11:34:53.579003+05:30,24819.95,24823.2,24819.85,24822.85,24822.85,,
2025-09-04,2025-09-04 11:34:54.079040+05:30,24819.95,24823.2,24819.85,24823.05,24823.05,,
2025-09-04,2025-09-04 11:34:54.579584+05:30,24819.95,24823.2,24819.85,24822.9,24822.9,,
2025-09-04,2025-09-04 11:34:55.079374+05:30,24819.95,24823.2,24819.85,24822.95,24822.95,,
