ha_time,ha_color,ha_open,ha_high,ha_low,ha_close,underlying_open,underlying_high,underlying_low,underlying_close,cal1,form1,form2,named_levels,used_formula,triggered,reached_named_levels,reached_named_values,note,chosen_trigger_level,chosen_trigger_value,strike,side,symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 09:34:00+05:30,GREEN,24798.683703422543,24812.9,24798.683703422543,24808.05,24798.683703422543,24812.9,24798.683703422543,24808.05,9.366296577456524,29.436932100577646,,"{'entryA': 24798.683703422543, 'entryB': 24783.463067899425}",form1,True,entryA,24798.684,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24798.683703422543,24900.0,CE,,,,,,,,
2025-09-05 09:34:00+05:30,GREEN,24798.683703422543,24812.9,24798.683703422543,24808.05,24798.683703422543,24812.9,24798.683703422543,24808.05,9.366296577456524,29.436932100577646,,"{'entryA': 24798.683703422543, 'entryB': 24783.463067899425}",form1,True,entryA,24798.684,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24798.683703422543,25000.0,CE,,,,,,,,
2025-09-05 09:35:00+05:30,RED,24803.366851711275,24812.3,24789.85,24801.375,24803.366851711275,24812.3,24789.85,24801.375,-1.9918517112746486,-6.260105378291753,,"{'entryA': 24803.366851711275, 'entryB': 24818.560105378292}",form1,True,entryA,24803.367,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:36:00+05:30,RED,24802.37092585564,24802.37092585564,24783.9,24788.2875,24802.37092585564,24802.37092585564,24783.9,24788.2875,-14.083425855642417,-44.26219554630474,,"{'entryA': 24802.37092585564, 'entryB': 24846.633121401945}",form1,True,entryA,24802.371,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:37:00+05:30,RED,24795.32921292782,24795.32921292782,24781.85,24788.3625,24795.32921292782,24795.32921292782,24781.85,24788.3625,-6.966712927820481,-21.895383487435797,,"{'entryA': 24795.32921292782, 'entryB': 24817.224596415257}",form1,True,entryA,24795.329,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:38:00+05:30,RED,24791.845856463908,24791.845856463908,24783.4,24787.2875,24791.845856463908,24791.845856463908,24783.4,24787.2875,-4.558356463909149,-14.326263172285897,,"{'entryA': 24791.845856463908, 'entryB': 24806.172119636194}",form1,True,entryA,24791.846,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:39:00+05:30,RED,24789.566678231957,24789.566678231957,24777.3,24782.9,24789.566678231957,24789.566678231957,24777.3,24782.9,-6.666678231955302,-20.952417300430948,,"{'entryA': 24789.566678231957, 'entryB': 24810.51909553239}",form1,True,entryA,24789.567,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:40:00+05:30,RED,24786.233339115977,24786.233339115977,24775.45,24780.6,24786.233339115977,24786.233339115977,24775.45,24780.6,-5.6333391159787425,-17.704780078790332,,"{'entryA': 24786.233339115977, 'entryB': 24803.93811919477}",form1,True,entryA,24786.233,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:41:00+05:30,RED,24783.416669557988,24783.416669557988,24777.2,24780.0625,24783.416669557988,24783.416669557988,24777.2,24780.0625,-3.354169557987916,-10.541675753676307,,"{'entryA': 24783.416669557988, 'entryB': 24793.958345311665}",form1,True,entryA,24783.417,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:42:00+05:30,RED,24781.739584779,24782.3,24778.4,24780.7875,24781.739584779,24782.3,24778.4,24780.7875,-0.9520847790008702,-2.992266448288449,,"{'entryA': 24781.739584779, 'entryB': 24785.292266448287}",form1,True,entryA,24781.740,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
