ha_time,ha_color,cal1,used_formula,candidate_levels,triggered,triggered_levels,strike,side,symbol,note,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 10:27:00+05:30,GREEN,22.83036161801283,form2,"[24692.298294030632, 24698.185794030633]",True,"[24692.298294030632, 24698.185794030633]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:28:00+05:30,68.85,2025-09-05 10:29:00+05:30,63.05,STOP,-1.0,-50.0
2025-09-05 10:27:00+05:30,GREEN,22.83036161801283,form2,"[24692.298294030632, 24698.185794030633]",True,"[24692.298294030632, 24698.185794030633]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:28:00+05:30,GREEN,30.52768080900205,form2,"[24708.961647015316, 24724.586647015316]",True,"[24708.961647015316, 24724.586647015316]",24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:28:00+05:30,GREEN,30.52768080900205,form2,"[24708.961647015316, 24724.586647015316]",True,"[24708.961647015316, 24724.586647015316]",24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:28:00+05:30,GREEN,30.52768080900205,form2,"[24708.961647015316, 24724.586647015316]",True,"[24708.961647015316, 24724.586647015316]",24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:28:00+05:30,GREEN,30.52768080900205,form2,"[24708.961647015316, 24724.586647015316]",True,"[24708.961647015316, 24724.586647015316]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:29:00+05:30,63.05,2025-09-05 10:31:00+05:30,60.5,STOP,-1.0,-50.0
2025-09-05 10:28:00+05:30,GREEN,30.52768080900205,form2,"[24708.961647015316, 24724.586647015316]",True,"[24708.961647015316, 24724.586647015316]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:29:00+05:30,GREEN,25.15134040450357,form2,"[24720.559800780386, 24729.747300780386]",True,"[24720.559800780386, 24729.747300780386]",24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:29:00+05:30,GREEN,25.15134040450357,form2,"[24720.559800780386, 24729.747300780386]",True,"[24720.559800780386, 24729.747300780386]",24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:29:00+05:30,GREEN,25.15134040450357,form2,"[24720.559800780386, 24729.747300780386]",True,"[24720.559800780386, 24729.747300780386]",24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:29:00+05:30,GREEN,25.15134040450357,form2,"[24720.559800780386, 24729.747300780386]",True,"[24720.559800780386, 24729.747300780386]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:30:00+05:30,65.75,2025-09-05 10:31:00+05:30,60.5,STOP,-1.0,-50.0
